button;;buton
Оригинал;Перевод;
Change;Изменить;
Send;Отправить;
company;;
Оригинал;Перевод;
Account&nbsp;Счет&nbsp;
Accounts;Счета;
Back to homepage;Вернуться на главную;
Choose the account from which you wish to participate in the promotion;Выберите счет, с которого желаете участвовать в акции.;
Start date;Дата начала;
End date;Дата окончания;
Department;Отдел компании;
Complaints department;Отдел рассмотрения жалоб;
Client Relations Department;Отдел по работе с клиентами;
Description;Краткое описание;
Financial service;Финансовая служба;
I do not know where to send a message;Я не знаю, куда следует направить сообщение;
Image;Изображение;Resim
Link to a document;Ссылка на документ;Bir belgeye ba?lant?
Message;Сообщение;Mesaj  
Message has been sent;Сообщение было отправлено;mesaj g?nderildi
Name;Название;?sim 
PDF format;PDF формат;PDF bi?imi
Page not found;Страница не найдена;sayfa bulunamad?
Participation in the promotion from the account;Участие в акции со счета;Promosyona hesaptan kat?l?m
Participate;Участвовать;Kat?l
Promotion;Акция;Promosyon
Registration;Регистрация;Kay?t
Send;Отправить;G?nder
Sent from;Отправлено от;Den g?nderildi
Technical service;Техническая служба;Teknik servis
Text;Текст;Metin
Title;Заголовок;Ba?l?k
View;Просмотр;G?r?n?m
You are already participated in the promotion;Вы уже участвуете в акции;Zaten promosyona kat?ld?n?z
crm;;crm
Оригинал;Перевод;
All;Все;Her?ey
No target;Без цели;Hedef yok
Action;Действие;Aksiyon
Today;Сегодня;Bug?n
Action date;Дата действия;Eylem tarihi
Are you sure you want to delete the selected clients?;Вы действительно хотите удалить выбранных клиентов?;Se?ili istemcileri silmek istedi?inizden emin misiniz?
Action text;Текст действия;Eylem metni
Add client;Добавить клиента;M??teri ekle
Actions;Действия;Hareketler
Add;Добавить;Ekle
Customer statuses;Статусы клиента;M??teri durumlar?
Create a customer status;Создать статус клиента;M??teri durumu olu?turun
You can not remove the basic status;Вы не можете удалить базовый статус;Temel durumu kald?ramazs?n?z
Target;Цель;Hedef
Add action;Добавить действие;Eylem ekleyin
Attached files;Прикрепленные файлы;Ekli dosyalar
My results;Мои результаты;Sonu?lar?m
Save and add;Сохранить и создать;Kaydet ve ekle
"It is necessary to fill in the ""{field}"" section";"Необходимо заполнить поле ""{field}""";{Field} b?l?m?n? doldurmak gerekiyor
CRM activation;CRM включить;CRM aktivasyonu
Check to send the request to the archive.;Отметьте для отправки задачи в архив.;?ste?i ar?ive g?ndermek i?in i?aretleyin.
City;Город;?ehir
Customer;Клиент;M??teri
Client convertion date;;M??teri d?n??t?rme tarihi
Customer creation date;Дата создания клиента;M??teri olu?turma tarihi
Customer type;Тип клиента;M??teri tipi
Close task;Закрыть задачу;G?revi kapat
Cold;Холодный;So?uk
Edit action type;Редактировать тип действия;Eylem t?r?n? d?zenleyin
Expired;Просроченные;S?resi doldu
Future;Будущие;Gelecek
Actions archive;Архив действий;Eylemler ar?ivi
Opened actions;Открытые действия;A??lan eylemler
Complete;Выполнено;Tamamlay?n?z
Date of Birth;Дата рождения;Do?um tarihi
Delete customers;Удаление клиентов;M??terileri silin
Condition;Состояние;Durum
Country;Страна;?lke
Create action;Создать действие;Eylem olu?tur
Create action type;Создать тип действия;Eylem t?r? olu?turun
Create customer;Создать клиента;M??teri olu?tur
Create customer purpose;Создать цель клиента;M??teri amac? olu?turun
Create lead;Создать интерес;Potansiyel m??teri olu?tur
Create a new action;Создать новое действие;Yeni bir eylem olu?turun
Create source;Создать источник;Kaynak olu?tur
Created by CRM system;Создано CRM;CRM sistemi taraf?ndan olu?turulmu?tur
Created by registration;Создан при регистрации;Kay?t taraf?ndan olu?turuldu
Creation date;Дата создания;Olu?turulma tarihi
Creator;Создатель;Yarat?c?
Date;Дата;Tarih 
Date of creation;Дата создания;Olu?turma tarihi
Default source;Источник по умолчанию;Varsay?lan kaynak
Extra data;Дополнительная информация;Ekstra veriler
Description;Описание;A??klama
Email;;E-posta adresi
Edit customer info;Редактировать информацию о клиенте;M??teri bilgilerini d?zenleyin
Edit lead info;Редактировать информацию о интересе;Potansiyel m??teri bilgilerini d?zenleyin
Edit action;Редактировать действие;Eylemi d?zenle
Edit task;Редактировать задачу;G?revi d?zenleyin
Add reply;Добавить ответ;Cevap ekle
Expiration date;Дата истечения;Ge?erlilik  tarihi
First action date;Дата первого действия;?lk eylem tarihi
{field} must be a number;{field} должен быть числом;{field} bir say? olmal?d?r
"""{field}"" must be a integer";"""{field}"" должен быть целым числом";{field} bir tam say? olmal?d?r
"""{field}"" must be in the date format";"заполните ""{field}"" в формате date ";{field}, tarih bi?iminde olmal?d?r
High;Высокий;Y?ksek
Hot;Горячий;S?cak
I am creator;Я создатель;Ben yarat?c?y?m
I am responsible;Я ответственный;sorumluyum
Urgent;Срочный;Acil
Importance;Важность;?nem
Important;Важный;?nemli
In process;В обработке;??lemde
Client creator;Создатель клиента;M??teri yarat?c?s?
Information about the customer;Информация о клиенте;M??teri ile ilgili bilgiler
Customer parameters;Параметры клиента;M??teri parametreleri
Customer status;Статус клиента;M??teri durumu
Login;Логин;Oturum a?
Low;Низкий;D???k
Average;Средний;Ortalama
My actions;Мои действия;Eylemlerim
Name;Имя;?sim 
New;Новое;Yeni
